,uni_id,date,exchange,type,open,high,low,close,close_adj,volume,listed_date,de_listed_date
98734,IF2112,2021-11-08,ZJS,2,4851.0,4874.2,4825.8,4841.2,4848.0,16429,2021-04-19,2021-12-17
98735,IF2112,2021-11-09,ZJS,2,4860.2,4880.0,4814.6,4840.0,4842.0,21219,2021-04-19,2021-12-17
98736,IF2112,2021-11-10,ZJS,2,4829.6,4830.2,4741.0,4809.8,4799.2,29030,2021-04-19,2021-12-17
98737,IF2112,2021-11-11,ZJS,2,4793.8,4899.6,4793.8,4894.0,4889.2,28377,2021-04-19,2021-12-17
98738,IF2112,2021-11-12,ZJS,2,4901.6,4911.6,4874.0,4891.4,4890.8,19974,2021-04-19,2021-12-17
98739,IF2112,2021-11-15,ZJS,2,4898.2,4916.0,4866.8,4890.2,4887.4,21052,2021-04-19,2021-12-17
98740,IF2112,2021-11-16,ZJS,2,4897.2,4923.8,4872.6,4886.0,4884.6,28952,2021-04-19,2021-12-17
98741,IF2112,2021-11-17,ZJS,2,4886.8,4899.6,4863.8,4881.8,4880.0,30506,2021-04-19,2021-12-17
98742,IF2112,2021-11-18,ZJS,2,4869.6,4869.8,4818.0,4830.2,4831.6,57038,2021-04-19,2021-12-17
98743,IF2112,2021-11-19,ZJS,2,4826.0,4903.2,4818.6,4894.8,4893.8,78568,2021-04-19,2021-12-17
98744,IF2112,2021-11-22,ZJS,2,4904.6,4922.0,4892.2,4905.0,4908.6,59151,2021-04-19,2021-12-17
98745,IF2112,2021-11-23,ZJS,2,4899.0,4928.0,4890.2,4907.6,4907.6,50616,2021-04-19,2021-12-17
98746,IF2112,2021-11-24,ZJS,2,4912.4,4943.6,4894.2,4916.6,4920.6,63312,2021-04-19,2021-12-17
98747,IF2112,2021-11-25,ZJS,2,4916.4,4921.0,4886.6,4896.8,4897.4,50800,2021-04-19,2021-12-17
98748,IF2112,2021-11-26,ZJS,2,4881.6,4886.8,4845.0,4856.0,4857.6,54972,2021-04-19,2021-12-17
98749,IF2112,2021-11-29,ZJS,2,4827.6,4863.8,4822.0,4853.2,4846.4,62351,2021-04-19,2021-12-17
98750,IF2112,2021-11-30,ZJS,2,4865.6,4872.2,4806.4,4833.2,4824.0,64388,2021-04-19,2021-12-17
98751,IF2112,2021-12-01,ZJS,2,4842.2,4856.2,4828.8,4847.2,4847.8,50076,2021-04-19,2021-12-17
98752,IF2112,2021-12-02,ZJS,2,4844.6,4873.2,4826.2,4858.6,4858.6,57761,2021-04-19,2021-12-17
98753,IF2112,2021-12-03,ZJS,2,4858.8,4907.0,4849.8,4906.2,4898.4,69216,2021-04-19,2021-12-17
98754,IF2112,2021-12-06,ZJS,2,4918.0,4942.0,4892.2,4895.2,4905.4,63233,2021-04-19,2021-12-17
98755,IF2112,2021-12-07,ZJS,2,4932.2,4935.6,4901.0,4925.0,4917.0,64193,2021-04-19,2021-12-17
98756,IF2112,2021-12-08,ZJS,2,4932.0,5008.6,4915.8,5005.8,4998.4,76840,2021-04-19,2021-12-17
98757,IF2112,2021-12-09,ZJS,2,5010.0,5137.8,5004.2,5089.2,5101.4,92892,2021-04-19,2021-12-17
98758,IF2112,2021-12-10,ZJS,2,5068.2,5084.6,5057.2,5073.0,5067.0,63894,2021-04-19,2021-12-17
98759,IF2112,2021-12-13,ZJS,2,5120.0,5161.6,5080.2,5080.6,5089.2,79346,2021-04-19,2021-12-17
98760,IF2112,2021-12-14,ZJS,2,5067.2,5089.8,5047.4,5059.4,5058.4,56578,2021-04-19,2021-12-17
98761,IF2112,2021-12-15,ZJS,2,5048.2,5069.2,5005.6,5009.2,5017.6,55513,2021-04-19,2021-12-17
98762,IF2112,2021-12-16,ZJS,2,5013.8,5035.8,4996.0,5035.2,5028.2,46816,2021-04-19,2021-12-17
98763,IF2112,2021-12-17,ZJS,2,5025.0,5030.0,4961.4,4964.6,4964.77,23047,2021-04-19,2021-12-17
98764,IF2201,2021-11-22,ZJS,2,4900.4,4920.2,4891.6,4900.4,4905.2,888,2021-11-22,2022-01-21
98765,IF2201,2021-11-23,ZJS,2,4891.6,4922.2,4889.0,4904.4,4902.8,877,2021-11-22,2022-01-21
98766,IF2201,2021-11-24,ZJS,2,4911.4,4937.4,4890.0,4911.2,4916.6,1637,2021-11-22,2022-01-21
98767,IF2201,2021-11-25,ZJS,2,4909.6,4917.6,4885.2,4894.6,4894.4,1301,2021-11-22,2022-01-21
98768,IF2201,2021-11-26,ZJS,2,4883.0,4884.2,4844.4,4853.6,4855.8,1977,2021-11-22,2022-01-21
98769,IF2201,2021-11-29,ZJS,2,4820.0,4860.2,4807.8,4850.4,4842.4,2533,2021-11-22,2022-01-21
98770,IF2201,2021-11-30,ZJS,2,4862.8,4868.8,4804.4,4831.2,4820.8,2262,2021-11-22,2022-01-21
98771,IF2201,2021-12-01,ZJS,2,4840.0,4850.6,4825.8,4841.8,4843.6,2545,2021-11-22,2022-01-21
98772,IF2201,2021-12-02,ZJS,2,4838.0,4867.8,4821.6,4854.8,4854.4,2120,2021-11-22,2022-01-21
98773,IF2201,2021-12-03,ZJS,2,4858.8,4899.0,4845.4,4897.4,4891.0,2855,2021-11-22,2022-01-21
98774,IF2201,2021-12-06,ZJS,2,4910.6,4933.2,4885.0,4889.6,4897.4,4586,2021-11-22,2022-01-21
98775,IF2201,2021-12-07,ZJS,2,4930.0,4930.0,4895.2,4918.8,4910.6,4082,2021-11-22,2022-01-21
98776,IF2201,2021-12-08,ZJS,2,4925.4,5000.8,4909.8,4999.8,4990.6,7176,2021-11-22,2022-01-21
98777,IF2201,2021-12-09,ZJS,2,5009.4,5135.0,4999.0,5086.0,5099.6,11477,2021-11-22,2022-01-21
98778,IF2201,2021-12-10,ZJS,2,5066.0,5085.0,5055.2,5071.6,5064.8,11687,2021-11-22,2022-01-21
98779,IF2201,2021-12-13,ZJS,2,5098.0,5164.8,5080.4,5084.0,5089.8,15924,2021-11-22,2022-01-21
98780,IF2201,2021-12-14,ZJS,2,5073.0,5092.4,5050.8,5060.4,5061.0,18405,2021-11-22,2022-01-21
98781,IF2201,2021-12-15,ZJS,2,5050.4,5072.4,5015.0,5015.0,5025.6,26453,2021-11-22,2022-01-21
98782,IF2201,2021-12-16,ZJS,2,5022.2,5050.0,5004.2,5048.2,5042.2,45141,2021-11-22,2022-01-21
98783,IF2201,2021-12-17,ZJS,2,5038.0,5043.0,4973.4,4976.2,4979.4,64707,2021-11-22,2022-01-21
98784,IF2201,2021-12-20,ZJS,2,4961.4,4997.2,4895.2,4904.0,4906.2,73859,2021-11-22,2022-01-21
98785,IF2201,2021-12-21,ZJS,2,4907.6,4942.2,4898.0,4923.2,4929.0,58558,2021-11-22,2022-01-21
98786,IF2201,2021-12-22,ZJS,2,4934.8,4948.4,4910.6,4921.4,4925.0,48903,2021-11-22,2022-01-21
98787,IF2201,2021-12-23,ZJS,2,4934.0,4968.8,4916.0,4962.4,4959.8,59854,2021-11-22,2022-01-21
98788,IF2201,2021-12-24,ZJS,2,4967.0,4975.8,4915.8,4937.6,4936.0,54739,2021-11-22,2022-01-21
98789,IF2201,2021-12-27,ZJS,2,4938.0,4963.6,4912.2,4945.0,4935.0,52840,2021-11-22,2022-01-21
98790,IF2201,2021-12-28,ZJS,2,4950.8,4993.8,4940.0,4974.6,4978.4,62373,2021-11-22,2022-01-21
98791,IF2201,2021-12-29,ZJS,2,4979.8,4981.6,4900.2,4903.0,4910.0,63531,2021-11-22,2022-01-21
98792,IF2201,2021-12-30,ZJS,2,4905.0,4964.0,4899.2,4940.0,4939.8,63936,2021-11-22,2022-01-21
98793,IF2201,2021-12-31,ZJS,2,4960.0,4973.4,4931.4,4943.0,4947.4,50670,2021-11-22,2022-01-21
98794,IF2201,2022-01-04,ZJS,2,4960.0,4966.0,4872.2,4925.6,4922.2,65395,2021-11-22,2022-01-21
98795,IF2201,2022-01-05,ZJS,2,4919.6,4928.8,4855.2,4877.0,4879.0,73461,2021-11-22,2022-01-21
98796,IF2201,2022-01-06,ZJS,2,4860.2,4867.6,4787.2,4818.2,4820.6,67481,2021-11-22,2022-01-21
98797,IF2201,2022-01-07,ZJS,2,4833.6,4863.4,4825.4,4829.6,4836.0,58567,2021-11-22,2022-01-21
98798,IF2201,2022-01-10,ZJS,2,4822.0,4857.6,4790.2,4845.6,4845.4,55271,2021-11-22,2022-01-21
98799,IF2201,2022-01-11,ZJS,2,4841.6,4858.6,4795.6,4800.8,4805.6,60829,2021-11-22,2022-01-21
98800,IF2201,2022-01-12,ZJS,2,4822.0,4869.6,4819.0,4852.6,4857.6,58829,2021-11-22,2022-01-21
98801,IF2201,2022-01-13,ZJS,2,4863.0,4868.4,4767.0,4767.2,4776.4,66308,2021-11-22,2022-01-21
98802,IF2201,2022-01-14,ZJS,2,4753.2,4772.4,4720.6,4723.6,4732.8,58708,2021-11-22,2022-01-21
98803,IF2201,2022-01-17,ZJS,2,4732.0,4784.0,4730.2,4763.6,4767.0,53583,2021-11-22,2022-01-21
98804,IF2201,2022-01-18,ZJS,2,4760.0,4831.0,4745.2,4812.2,4809.0,58610,2021-11-22,2022-01-21
98805,IF2201,2022-01-19,ZJS,2,4818.2,4839.4,4761.6,4788.4,4779.2,55463,2021-11-22,2022-01-21
98806,IF2201,2022-01-20,ZJS,2,4784.4,4854.8,4784.4,4825.0,4827.0,45581,2021-11-22,2022-01-21
98807,IF2201,2022-01-21,ZJS,2,4815.0,4824.0,4761.6,4775.6,4775.93,19323,2021-11-22,2022-01-21
98808,IF2202,2021-12-20,ZJS,2,4960.4,4996.8,4900.2,4907.2,4913.4,1030,2021-12-20,2022-02-18
98809,IF2202,2021-12-21,ZJS,2,4907.0,4946.0,4901.0,4924.0,4930.2,1324,2021-12-20,2022-02-18
98810,IF2202,2021-12-22,ZJS,2,4941.8,4949.0,4912.8,4921.8,4926.6,1159,2021-12-20,2022-02-18
98811,IF2202,2021-12-23,ZJS,2,4930.2,4968.0,4919.0,4962.6,4959.2,1359,2021-12-20,2022-02-18
98812,IF2202,2021-12-24,ZJS,2,4970.0,4975.2,4920.0,4937.6,4936.8,1373,2021-12-20,2022-02-18
98813,IF2202,2021-12-27,ZJS,2,4938.6,4962.8,4916.8,4948.0,4938.6,897,2021-12-20,2022-02-18
98814,IF2202,2021-12-28,ZJS,2,4955.6,4997.4,4943.6,4978.0,4988.0,1660,2021-12-20,2022-02-18
98815,IF2202,2021-12-29,ZJS,2,4984.0,4985.6,4905.8,4909.0,4919.6,1728,2021-12-20,2022-02-18
98816,IF2202,2021-12-30,ZJS,2,4908.2,4968.0,4906.0,4944.0,4943.4,1297,2021-12-20,2022-02-18
98817,IF2202,2021-12-31,ZJS,2,4960.8,4976.8,4937.0,4945.8,4950.6,1229,2021-12-20,2022-02-18
98818,IF2202,2022-01-04,ZJS,2,4966.0,4967.2,4875.2,4929.8,4923.6,2259,2021-12-20,2022-02-18
98819,IF2202,2022-01-05,ZJS,2,4927.2,4931.0,4859.8,4877.4,4880.4,1913,2021-12-20,2022-02-18
98820,IF2202,2022-01-06,ZJS,2,4858.8,4874.8,4791.0,4819.8,4820.6,2858,2021-12-20,2022-02-18
98821,IF2202,2022-01-07,ZJS,2,4827.0,4864.0,4827.0,4833.4,4837.0,1814,2021-12-20,2022-02-18
98822,IF2202,2022-01-10,ZJS,2,4833.0,4858.8,4794.6,4846.8,4846.8,2159,2021-12-20,2022-02-18
98823,IF2202,2022-01-11,ZJS,2,4844.6,4858.8,4797.8,4802.0,4807.2,3318,2021-12-20,2022-02-18
98824,IF2202,2022-01-12,ZJS,2,4823.0,4870.4,4822.2,4856.8,4860.0,3340,2021-12-20,2022-02-18
98825,IF2202,2022-01-13,ZJS,2,4873.2,4873.2,4770.4,4770.6,4781.8,5064,2021-12-20,2022-02-18
98826,IF2202,2022-01-14,ZJS,2,4759.4,4777.0,4725.2,4726.4,4737.4,5664,2021-12-20,2022-02-18
98827,IF2202,2022-01-17,ZJS,2,4736.4,4785.0,4735.2,4766.0,4770.0,6982,2021-12-20,2022-02-18
98828,IF2202,2022-01-18,ZJS,2,4773.0,4832.0,4752.2,4814.6,4810.0,11508,2021-12-20,2022-02-18
98829,IF2202,2022-01-19,ZJS,2,4821.4,4839.8,4767.0,4792.8,4784.4,20224,2021-12-20,2022-02-18
98830,IF2202,2022-01-20,ZJS,2,4790.2,4868.0,4790.2,4833.8,4840.2,45539,2021-12-20,2022-02-18
98831,IF2202,2022-01-21,ZJS,2,4824.0,4835.0,4782.2,4805.2,4797.2,58045,2021-12-20,2022-02-18
98832,IF2202,2022-01-24,ZJS,2,4785.0,4817.8,4763.6,4803.4,4795.6,58320,2021-12-20,2022-02-18
98833,IF2202,2022-01-25,ZJS,2,4780.4,4794.0,4686.4,4690.8,4707.6,64532,2021-12-20,2022-02-18
98834,IF2202,2022-01-26,ZJS,2,4716.4,4727.6,4664.4,4718.4,4719.0,60134,2021-12-20,2022-02-18
98835,IF2202,2022-01-27,ZJS,2,4707.4,4709.8,4621.0,4637.8,4639.0,67742,2021-12-20,2022-02-18
98836,IF2202,2022-01-28,ZJS,2,4666.8,4669.0,4524.0,4540.6,4574.6,75527,2021-12-20,2022-02-18
98837,IF2202,2022-02-07,ZJS,2,4616.8,4668.2,4608.0,4627.2,4625.2,56834,2021-12-20,2022-02-18
98838,IF2202,2022-02-08,ZJS,2,4615.6,4626.6,4518.0,4607.2,4597.8,65302,2021-12-20,2022-02-18
98839,IF2202,2022-02-09,ZJS,2,4615.6,4659.0,4594.0,4648.4,4649.2,57333,2021-12-20,2022-02-18
98840,IF2202,2022-02-10,ZJS,2,4656.0,4659.2,4611.2,4636.2,4630.8,50993,2021-12-20,2022-02-18
